ASN,Name
38325,
38365,"BAIDU Beijing Baidu Netcom Science and Technology Co."
38478,"SUNNYVISION-AS-AP SunnyVision Limited"
38532,"EXABYTES-AS-AP Exabytes Network Singapore Pte. Ltd."
38642,"YOSHIZOU Yoshizou XYZ Solutions"
38700,"SMILESERV-AS-KR SMILESERV"
38705,
38719,"DREAMSCAPE-AS-AP Dreamscape Networks Limited"
38731,
38760,"IDNIC-MSA-AS-ID PT Media Sarana Akses"
38767,"IDNIC-AMSCLOUD-AS-ID PT Awan Media Semesta"
38778,"DWPNET-AS-ID PT. Dutakom Wibawa Putra"
38823,"CASPO-AS-AP PINC AS"
38843,"PUMO-NET PUMO NETWORK DIGITAL TECHNOLOGY CO."
38880,
38894,
38926,
38955,"WORLD4YOU - World4You Internet Services GmbH"
38963,
38965,"HOSTIN - Rick van der Sterren trading as HostIn"
38994,
39020,"COMVIVE-AS - Comvive Servidores S.L."
39043,
39122,"BLACKNIGHT-AS - Blacknight Internet Solutions Limited"
39150,
39182,"NETEX-39182-AS - Netex Limited"
39190,
39222,
39227,
39238,"OKBPROGRESS - OKB PROGRESS LLC"
39239,"PHOENIXNAP-ES - PHOENIX NAP, LLC."
39246,
39292,
39311,
39315,"COMCOR-SERVICE-AS - Comcor Service LLC"
39324,"MEDIAM-AS - Mediam Oy"
39325,
39326,"HSO-GROUP - Syntura Group Limited"
39345,"BTS-AS - BTS TELECOM &amp; Hosting SRL"
39347,
39351,"ESAB-AS - 31173 Services AB"
39368,
39378,
39383,
39384,"RACKFIBER - Dream Fusion - IT Services, Lda"
39392,
39405,
39451,"IOMART-AS - IOMART MANAGED SERVICES LIMITED"
39458,
39466,
39494,"RU-CENTER-AS - JSC &quot;RU-CENTER&quot;"
39517,
39519,"MYLOC-ENTERPRISE - WIIT AG"
39535,
39556,"PINHOSTING-AS - PIN Hosting Europe GmbH"
39566,"AS-SMARTHOST-PL - Smarthost sp. z o.o."
39570,"LOOPIA - Loopia AB"
39572,"ADVANCEDHOSTERS-AS - DataWeb Global Group B.V."
39615,"XREALNET - DURU INTERNET VE BILISIM TEKNOLOJILERI SANAYI TICARET LIMITED SIRKETI"
